date,location,full_name,series_complete_5_11pop_pct,series_complete_12_17pop_pct,series_complete_U_18pop_pct
2022-03-15,AL,Alabama,9.4,33.8,15.3
2022-03-15,AK,Alaska,23,55.1,26.6
2022-03-15,AZ,Arizona,22.5,55.7,28
2022-03-15,AR,Arkansas,15.6,45.2,21.5
2022-03-15,CA,California,33.3,70.6,37
2022-03-15,CO,Colorado,32.1,65.1,34.8
2022-03-15,CT,Connecticut,39.2,74.7,42.6
2022-03-15,DE,Delaware,26.9,59.2,30.9
2022-03-15,DC,District of Columbia,35.4,72.1,32.3
2022-03-15,FL,Florida,18.8,54.7,26.2
2022-03-15,GA,Georgia,14.6,42.3,20.4
2022-03-15,HI,Hawaii,40.8,81.3,42
2022-03-15,ID,Idaho,16.5,40.2,20.4
2022-03-15,IL,Illinois,35.7,62.5,35.7
2022-03-15,IN,Indiana,15.6,40.4,20
2022-03-15,IA,Iowa,23.3,48.9,25.7
2022-03-15,KS,Kansas,22.2,51.3,26
2022-03-15,KY,Kentucky,17.9,43.3,21.7
2022-03-15,LA,Louisiana,10.6,37.6,16.7
2022-03-15,ME,Maine,40.3,68.3,40.1
2022-03-15,MD,Maryland,39.3,75,40.8
2022-03-15,MA,Massachusetts,47.3,76.5,45.3
2022-03-15,MI,Michigan,24.2,45.9,25.5
2022-03-15,MN,Minnesota,37.5,62.8,36
2022-03-15,MS,Mississippi,10.9,37.1,17.1
2022-03-15,MO,Missouri,18.7,43.2,22
2022-03-15,MT,Montana,19.7,43.3,22.5
2022-03-15,NE,Nebraska,25.4,54.6,28.1
2022-03-15,NV,Nevada,18.1,51,24.4
2022-03-15,NH,New Hampshire,25.7,59,31.7
2022-03-15,NJ,New Jersey,34.1,70.5,37.7
2022-03-15,NM,New Mexico,30.2,66.4,35
2022-03-15,NY,New York,34.9,69.6,36.9
2022-03-15,NC,North Carolina,22.7,49.6,26.1
2022-03-15,ND,North Dakota,19.7,42,20.5
2022-03-15,OH,Ohio,21.7,43.2,23.4
2022-03-15,OK,Oklahoma,15.1,44.2,20.7
2022-03-15,OR,Oregon,31,62.9,33.7
2022-03-15,PA,Pennsylvania,29.1,55.1,30.5
2022-03-15,RI,Rhode Island,46.8,79.8,46.1
2022-03-15,SC,South Carolina,16.9,44.1,21.9
2022-03-15,SD,South Dakota,23.4,48.8,25
2022-03-15,TN,Tennessee,14.5,37.9,18.6
2022-03-15,TX,Texas,22,57.3,27.9
2022-03-15,UT,Utah,26.9,60.9,30.9
2022-03-15,VT,Vermont,55.5,79.4,50
2022-03-15,VA,Virginia,38.2,72.7,39.6
2022-03-15,WA,Washington,34,68.3,36
2022-03-15,WV,West Virginia,14.1,41.7,20
2022-03-15,WI,Wisconsin,28.2,53.3,29.6
2022-03-15,WY,Wyoming,13.2,36,17.2
